type	file	sector	connection
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_709_Sector001_macro	Zone004_Cluster_709_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_710_Sector001_macro	Zone004_Cluster_710_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_711_Sector001_macro	Zone004_Cluster_711_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_712_Sector001_macro	Zone004_Cluster_712_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_713_Sector001_macro	Zone004_Cluster_713_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_714_Sector001_macro	Zone004_Cluster_714_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_715_Sector001_macro	Zone004_Cluster_715_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_720_Sector001_macro	Zone004_Cluster_720_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_722_Sector001_macro	Zone004_Cluster_722_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_723_Sector001_macro	Zone004_Cluster_723_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_709_Sector001_macro	Zone004_Cluster_709_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_710_Sector001_macro	Zone004_Cluster_710_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_712_Sector001_macro	Zone004_Cluster_712_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_713_Sector001_macro	Zone004_Cluster_713_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_714_Sector001_macro	Zone004_Cluster_714_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_715_Sector001_macro	Zone004_Cluster_715_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_720_Sector001_macro	Zone004_Cluster_720_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_721_Sector001_macro	Zone004_Cluster_721_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_722_Sector001_macro	Zone004_Cluster_722_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_723_Sector001_macro	Zone004_Cluster_723_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_724_Sector001_macro	Zone004_Cluster_724_Sector001_connection_resourceextra_a
gas_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_725_Sector001_macro	Zone004_Cluster_725_Sector001_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_01_Sector002_macro	Zone002_Cluster_01_Sector002_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_06_Sector001_macro	Zone001_Cluster_06_Sector001_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_06_Sector002_macro	Zone001_Cluster_06_Sector002_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_11_Sector001_macro	Zone001_Cluster_11_Sector001_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_15_Sector001_macro	Zone001_Cluster_15_Sector001_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_18_Sector001_macro	Zone001_Cluster_18_Sector001_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_19_Sector001_macro	Zone003_Cluster_19_Sector001_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_19_Sector002_macro	Zone001_Cluster_19_Sector002_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_24_Sector001_macro	Zone002_Cluster_24_Sector001_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_28_Sector001_macro	Zone004_Cluster_28_Sector001_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_29_Sector002_macro	Zone001_Cluster_29_Sector002_connection_resourceextra_a
helium	maps/xu_ep2_universe/sectors.xml	Cluster_49_Sector001_macro	Zone001_Cluster_49_Sector001_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_01_Sector001_macro	Zone005_Cluster_01_Sector01_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_01_Sector002_macro	Zone002_Cluster_01_Sector002_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_01_Sector003_macro	Zone003_Cluster_01_Sector003_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_06_Sector001_macro	Zone001_Cluster_06_Sector001_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_06_Sector002_macro	Zone001_Cluster_06_Sector002_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_11_Sector001_macro	Zone001_Cluster_11_Sector001_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_15_Sector001_macro	Zone001_Cluster_15_Sector001_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_18_Sector001_macro	Zone001_Cluster_18_Sector001_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_19_Sector001_macro	Zone003_Cluster_19_Sector001_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_19_Sector002_macro	Zone001_Cluster_19_Sector002_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_24_Sector001_macro	Zone002_Cluster_24_Sector001_connection_resourceextra_a
hydrogen	maps/xu_ep2_universe/sectors.xml	Cluster_29_Sector002_macro	Zone001_Cluster_29_Sector002_connection_resourceextra_a
ice	maps/xu_ep2_universe/sectors.xml	Cluster_01_Sector002_macro	Zone002_Cluster_01_Sector002_connection_resourceextra_a
ice	maps/xu_ep2_universe/sectors.xml	Cluster_03_Sector001_macro	Zone003_Cluster_03_Sector001_connection_resourceextra_a
ice	maps/xu_ep2_universe/sectors.xml	Cluster_11_Sector001_macro	Zone001_Cluster_11_Sector001_connection_resourceextra_a
ice	maps/xu_ep2_universe/sectors.xml	Cluster_15_Sector001_macro	Zone001_Cluster_15_Sector001_connection_resourceextra_a
ice	maps/xu_ep2_universe/sectors.xml	Cluster_15_Sector002_macro	Zone001_Cluster_15_Sector002_connection_resourceextra_a
ice	maps/xu_ep2_universe/sectors.xml	Cluster_18_Sector001_macro	Zone001_Cluster_18_Sector001_connection_resourceextra_a
ice	maps/xu_ep2_universe/sectors.xml	Cluster_24_Sector001_macro	Zone002_Cluster_24_Sector001_connection_resourceextra_a
ice	maps/xu_ep2_universe/sectors.xml	Cluster_29_Sector002_macro	Zone001_Cluster_29_Sector002_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_01_Sector002_macro	Zone002_Cluster_01_Sector002_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_06_Sector001_macro	Zone001_Cluster_06_Sector001_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_06_Sector002_macro	Zone001_Cluster_06_Sector002_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_11_Sector001_macro	Zone001_Cluster_11_Sector001_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_15_Sector001_macro	Zone001_Cluster_15_Sector001_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_18_Sector001_macro	Zone001_Cluster_18_Sector001_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_19_Sector001_macro	Zone003_Cluster_19_Sector001_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_19_Sector002_macro	Zone001_Cluster_19_Sector002_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_24_Sector001_macro	Zone002_Cluster_24_Sector001_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_29_Sector002_macro	Zone001_Cluster_29_Sector002_connection_resourceextra_a
methane	maps/xu_ep2_universe/sectors.xml	Cluster_49_Sector001_macro	Zone001_Cluster_49_Sector001_connection_resourceextra_a
nividium	maps/xu_ep2_universe/sectors.xml	Cluster_04_Sector001_macro	Zone001_Cluster_04_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_02_Sector001_macro	Zone001_Cluster_02_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_02_Sector001_macro	Zone001_Cluster_02_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_04_Sector002_macro	Zone001_Cluster_04_Sector002_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_04_Sector002_macro	Zone001_Cluster_04_Sector002_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_05_Sector001_macro	Zone001_Cluster_05_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_05_Sector001_macro	Zone001_Cluster_05_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_07_Sector001_macro	Zone002_Cluster_07_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_07_Sector001_macro	Zone002_Cluster_07_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_08_Sector001_macro	Zone001_Cluster_08_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_08_Sector001_macro	Zone001_Cluster_08_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_09_Sector001_macro	Zone001_Cluster_09_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_09_Sector001_macro	Zone001_Cluster_09_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_100_Sector001_macro	Zone003_Cluster_100_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_100_Sector001_macro	Zone003_Cluster_100_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_101_Sector001_macro	Zone002_Cluster_101_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_101_Sector001_macro	Zone002_Cluster_101_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_102_Sector001_macro	Zone004_Cluster_102_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_102_Sector001_macro	Zone004_Cluster_102_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_104_Sector001_macro	Zone001_Cluster_104_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_104_Sector001_macro	Zone001_Cluster_104_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_104_Sector002_macro	Zone005_Cluster_104_Sector002_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_104_Sector002_macro	Zone005_Cluster_104_Sector002_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_106_Sector001_macro	Zone002_Cluster_106_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_106_Sector001_macro	Zone002_Cluster_106_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_107_Sector001_macro	Zone003_Cluster_107_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_107_Sector001_macro	Zone003_Cluster_107_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_108_Sector001_macro	Zone004_Cluster_108_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_108_Sector001_macro	Zone004_Cluster_108_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_108_Sector002_macro	Zone004_Cluster_108_Sector002_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_108_Sector002_macro	Zone004_Cluster_108_Sector002_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_108_Sector003_macro	Zone004_Cluster_108_Sector003_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_108_Sector003_macro	Zone004_Cluster_108_Sector003_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_109_Sector001_macro	Zone003_Cluster_109_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_109_Sector001_macro	Zone003_Cluster_109_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_10_Sector001_macro	Zone001_Cluster_10_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_10_Sector001_macro	Zone001_Cluster_10_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_110_Sector001_macro	Zone002_Cluster_110_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_110_Sector001_macro	Zone002_Cluster_110_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_111_Sector001_macro	Zone001_Cluster_111_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_111_Sector001_macro	Zone001_Cluster_111_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_112_Sector001_macro	Zone003_Cluster_112_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_112_Sector001_macro	Zone003_Cluster_112_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_112_Sector002_macro	Zone001_Cluster_112_Sector002_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_112_Sector002_macro	Zone001_Cluster_112_Sector002_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_114_Sector001_macro	Zone001_Cluster_114_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_114_Sector001_macro	Zone001_Cluster_114_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_115_Sector001_macro	Zone003_Cluster_115_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_115_Sector001_macro	Zone003_Cluster_115_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_116_Sector001_macro	Zone002_Cluster_116_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_terran/maps/xu_ep2_universe/dlc_terran_sectors.xml	Cluster_116_Sector001_macro	Zone002_Cluster_116_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_12_Sector001_macro	Zone002_Cluster_12_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_12_Sector001_macro	Zone002_Cluster_12_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_14_Sector001_macro	Zone001_Cluster_14_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_14_Sector001_macro	Zone001_Cluster_14_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_16_Sector001_macro	Zone004_Cluster_16_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_16_Sector001_macro	Zone004_Cluster_16_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_17_Sector001_macro	Zone003_Cluster_17_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_17_Sector001_macro	Zone003_Cluster_17_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_20_Sector001_macro	Zone005_Cluster_20_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_20_Sector001_macro	Zone005_Cluster_20_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_21_Sector002_macro	Zone001_Cluster_21_Sector002_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_21_Sector002_macro	Zone001_Cluster_21_Sector002_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_22_Sector001_macro	Zone002_Cluster_22_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_22_Sector001_macro	Zone002_Cluster_22_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_23_Sector001_macro	Zone002_Cluster_23_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_23_Sector001_macro	Zone002_Cluster_23_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_25_Sector001_macro	Zone003_Cluster_25_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_25_Sector001_macro	Zone003_Cluster_25_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_25_Sector002_macro	Zone003_Cluster_25_Sector002_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_25_Sector002_macro	Zone003_Cluster_25_Sector002_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_26_Sector001_macro	Zone004_Cluster_26_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_26_Sector001_macro	Zone004_Cluster_26_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_26_Sector002_macro	Zone004_Cluster_26_Sector002_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_26_Sector002_macro	Zone004_Cluster_26_Sector002_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_29_Sector001_macro	Zone001_Cluster_29_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_29_Sector001_macro	Zone001_Cluster_29_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_30_Sector001_macro	Zone002_Cluster_30_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_30_Sector001_macro	Zone002_Cluster_30_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_31_Sector001_macro	Zone002_Cluster_31_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_31_Sector001_macro	Zone002_Cluster_31_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_32_Sector001_macro	Zone002_Cluster_32_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_32_Sector001_macro	Zone002_Cluster_32_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_32_Sector002_macro	Zone001_Cluster_32_Sector002_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_32_Sector002_macro	Zone001_Cluster_32_Sector002_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_33_Sector001_macro	Zone004_Cluster_33_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_33_Sector001_macro	Zone004_Cluster_33_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_34_Sector001_macro	Zone001_Cluster_34_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_34_Sector001_macro	Zone001_Cluster_34_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_35_Sector001_macro	Zone002_Cluster_35_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_35_Sector001_macro	Zone002_Cluster_35_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_36_Sector001_macro	Zone002_Cluster_36_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_36_Sector001_macro	Zone002_Cluster_36_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_37_Sector001_macro	Zone002_Cluster_37_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_37_Sector001_macro	Zone002_Cluster_37_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_38_Sector001_macro	Zone002_Cluster_38_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_38_Sector001_macro	Zone002_Cluster_38_Sector001_connection_resourceextra_b
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_39_Sector001_macro	Zone002_Cluster_39_Sector001_connection_resourceextra_a
no_resource_profile	maps/xu_ep2_universe/sectors.xml	Cluster_39_Sector001_macro	Zone002_Cluster_39_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_split/maps/xu_ep2_universe/dlc4_sectors.xml	Cluster_400_Sector001_macro	Zone003_Cluster_400_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_split/maps/xu_ep2_universe/dlc4_sectors.xml	Cluster_400_Sector001_macro	Zone003_Cluster_400_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_split/maps/xu_ep2_universe/dlc4_sectors.xml	Cluster_401_Sector001_macro	Zone003_Cluster_401_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_split/maps/xu_ep2_universe/dlc4_sectors.xml	Cluster_401_Sector001_macro	Zone003_Cluster_401_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_split/maps/xu_ep2_universe/dlc4_sectors.xml	Cluster_402_Sector001_macro	Zone003_Cluster_402_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_split/maps/xu_ep2_universe/dlc4_sectors.xml	Cluster_402_Sector001_macro	Zone003_Cluster_402_Sector001_connection_resourceextra_b
no_resource_profile	extensions/ego_dlc_split/maps/xu_ep2_universe/dlc4_sectors.xml	Cluster_403_Sector001_macro	Zone001_Cluster_403_Sector001_connection_resourceextra_a
no_resource_profile	extensions/ego_dlc_split/maps/xu_ep2_universe/dlc4_sectors.xml	Cluster_403_Sector001_macro	Zone001_Cluster_403_Sector001_connection_resourceextra_b
